level,model,accuracy,num_total,num_correct,num_incorrect,num_missing,pool_dir
0,ollama-llama3.1:8b-instruct-fp16,0.8125,48,39,9,0,data/mcqa_pools_refined_v4
1,ollama-llama3.1:8b-instruct-fp16,0.6875,48,33,15,0,data/mcqa_pools_refined_v4
2,ollama-llama3.1:8b-instruct-fp16,0.7916666666666666,48,38,10,0,data/mcqa_pools_refined_v4
3,ollama-llama3.1:8b-instruct-fp16,0.6666666666666666,48,32,16,0,data/mcqa_pools_refined_v4
4,ollama-llama3.1:8b-instruct-fp16,0.625,48,30,18,0,data/mcqa_pools_refined_v4
5,ollama-llama3.1:8b-instruct-fp16,0.6666666666666666,48,32,16,0,data/mcqa_pools_refined_v4
6,ollama-llama3.1:8b-instruct-fp16,0.75,48,36,12,0,data/mcqa_pools_refined_v4
7,ollama-llama3.1:8b-instruct-fp16,0.6041666666666666,48,29,19,0,data/mcqa_pools_refined_v4
99,ollama-llama3.1:8b-instruct-fp16,0.6666666666666666,48,32,16,0,data/mcqa_pools_refined_v4
